question,investment_asset_and_type
Give me a long-term holding strategy for investing in large US tech blue-chip stocks (FAANG).,Investment Target: Stocks; Investment Style: Growth Investing/Long-term Hold
"Please give me a US stock trading strategy based on the golden cross signal of MA moving averages (e.g., 50-day MA crossing above 200-day MA).",Investment Target: Stocks; Investment Style: Technical Analysis/Trend Following
How to use the golden crosses and dead crosses of the KDJ indicator to formulate a swing trading strategy for US blue-chip stocks?,Investment Target: Stocks; Investment Style: Technical Analysis/Swing Trading
Please design a US energy stock trading strategy based on MACD crossovers.,Investment Target: Stocks; Investment Style: Technical Analysis/MACD Crossover
Help me create a mean reversion strategy for US small-cap stocks.,Investment Target: Stocks; Investment Style: Mean Reversion
How to use MACD divergence signals to find buy and sell points for individual US stocks? Please provide a specific strategy.,Investment Target: Stocks; Investment Style: Technical Analysis/Trend Reversal
How to combine volume and price breakthroughs to formulate an effective 'chasing the rise' strategy for US stocks?,Investment Target: Stocks; Investment Style: Technical Analysis/Momentum Trading
Help me create a US financial stock strategy based on EMA crossovers.,Investment Target: Stocks; Investment Style: Technical Analysis/EMA Crossover
Please design a trend-following strategy for US energy stocks.,Investment Target: Stocks; Investment Style: Trend Following
Give me a US small-cap stock strategy based on the CCI indicator.,Investment Target: Stocks; Investment Style: Technical Analysis/CCI Indicator
Please design a US industrial stock strategy based on the Williams %R indicator.,Investment Target: Stocks; Investment Style: Technical Analysis/Williams %R
Help me create a US energy stock strategy based on the ROC (Rate of Change) indicator.,Investment Target: Stocks; Investment Style: Technical Analysis/ROC Indicator
How to formulate a dynamic stop-loss method based on the ATR indicator for my US stock trading strategy?,Investment Target: Stocks; Investment Style: Risk Management/ATR Stop-loss
Help me create an intraday trading strategy for US stocks based on VWAP (Volume-Weighted Average Price).,Investment Target: Stocks; Investment Style: Quantitative Trading/VWAP
Please design a breakout strategy for US industrial stocks based on the Donchian Channel.,Investment Target: Stocks; Investment Style: Technical Analysis/Donchian Channel
Help me create a US energy stock strategy based on the Keltner Channel.,Investment Target: Stocks; Investment Style: Technical Analysis/Keltner Channel
Please design a 'chasing the rise' strategy for US consumer stocks based on the Momentum indicator.,Investment Target: Stocks; Investment Style: Technical Analysis/Momentum Trading
Give me a technical breakout strategy for US small-cap stocks.,Investment Target: Stocks; Investment Style: Technical Breakout
Please design a trend strategy for US financial stocks based on the Supertrend indicator.,Investment Target: Stocks; Investment Style: Technical Analysis/Supertrend
Help me formulate an intraday trading strategy for US energy stocks based on Pivot Points.,Investment Target: Stocks; Investment Style: Technical Analysis/Pivot Point
Help me create a US consumer stock strategy based on the TRIX (Triple Exponentially Smoothed Moving Average) indicator.,Investment Target: Stocks; Investment Style: Technical Analysis/TRIX
How to use Fibonacci retracement levels to find pullback buying points for a US stock in an uptrend?,Investment Target: Stocks; Investment Style: Technical Analysis/Swing Trading
Give me a momentum breakout strategy for US small-cap stocks.,Investment Target: Stocks; Investment Style: Momentum Breakout
Help me design a simplified version of the 'Turtle Trading' rules for US stocks to capture long-term trends.,Investment Target: Stocks; Investment Style: Technical Analysis/Trend Following
I want to start dollar-cost averaging into the broad US market from scratch. Please give me a long-term strategy for regularly investing in an S&P 500 ETF (SPY/VOO).,Investment Target: ETF; Investment Style: Regular Dollar-Cost Averaging
"How to formulate a 'smart dollar-cost averaging' strategy for the Nasdaq 100 ETF (QQQ), investing more when market valuation is low and less when it's high?",Investment Target: ETF; Investment Style: Valuation-based Dollar-Cost Averaging
I want to invest $500 monthly. Please provide a portfolio strategy composed of 3-4 different types of US ETFs.,Investment Target: ETF; Investment Style: Regular Dollar-Cost Averaging/Diversification
Formulate a 'value averaging' strategy for investing in US ETFs. What are its pros and cons compared to dollar-cost averaging?,Investment Target: ETF; Investment Style: Value Averaging Strategy
"How to formulate a rotation strategy among US sector ETFs like Technology (XLK), Financials (XLF), and Health Care (XLV)?",Investment Target: ETF; Investment Style: Sector Rotation
I want to invest in gold and silver. Please provide a strategy for dollar-cost averaging or swing trading using precious metals ETFs.,Investment Target: ETF; Investment Style: Commodity Investing
"Help me design an ETF version of the 'Dogs of the Dow' strategy for US stocks, annually buying the few worst-performing sector ETFs from the past year.",Investment Target: ETF; Investment Style: Contrarian Investing/Rotation Strategy
How to use a high-dividend ETF (like VYM) and a US Treasury ETF (like TLT) to build a stock-bond rotation strategy?,Investment Target: ETF; Investment Style: Asset Rotation
"Formulate a strategy to track the semiconductor industry cycle, using a semiconductor ETF (like SOXX) for investment.",Investment Target: ETF; Investment Style: Thematic Investing/Cyclical Investing
How to formulate a strategy to earn real estate rental income by investing in Real Estate Investment Trust ETFs (REITs ETFs)?,Investment Target: ETF; Investment Style: Real Estate Investing/Income
Please provide a hedging strategy for a US bear market using inverse ETFs.,Investment Target: ETF; Investment Style: Inverse ETF/Hedging
"Generate a strategy to amplify returns in a US bull market using leveraged ETFs, and include a risk warning.",Investment Target: ETF; Investment Style: Leveraged Amplification/High Risk
Help me formulate a momentum reversal strategy for US tech ETFs.,Investment Target: ETF; Investment Style: Momentum Reversal
Please provide a sustainable investing strategy using US ESG ETFs.,Investment Target: ETF; Investment Style: Sustainable Investing/ESG
Help me formulate a dividend reinvestment strategy for US high-dividend ETFs.,Investment Target: ETF; Investment Style: Dividend Reinvestment
How to perform style rotation using small-cap value ETFs (like AVUV) and small-cap growth ETFs?,Investment Target: ETF; Investment Style: Style Rotation
How to use emerging market ETFs (like EEM) and developed market ETFs (like EFA) for regional rotation allocation?,Investment Target: ETF; Investment Style: Regional Rotation
How to use ETFs to replicate a simplified 'value + momentum' dual-factor investment strategy?,Investment Target: ETF; Investment Style: Smart Beta/Factor Investing
Help me design a strategy for investing in defense industry ETFs to respond to geopolitical risks.,Investment Target: ETF; Investment Style: Thematic Investing/Event-Driven
How to use the weekly golden cross of the KDJ indicator to formulate a medium-to-long-term buying strategy for US ETFs?,Investment Target: ETF; Investment Style: Technical Analysis/Trend Following
Give me a strategy for long-term swing trading of the Nasdaq 100 ETF based on weekly MACD signals.,Investment Target: ETF; Investment Style: Technical Analysis/Long-term Swing
Formulate a 'buy the dip' strategy of only purchasing a broad market ETF when the S&P 500 Index's RSI is below 30.,Investment Target: ETF; Investment Style: Technical Analysis/Contrarian Investing
Help me create a US tech ETF strategy based on RSI divergence.,Investment Target: ETF; Investment Style: Technical Analysis/RSI Divergence
Give me a high-liquidity trading strategy for a broad US market ETF.,Investment Target: ETF; Investment Style: High-Liquidity Trading
Help me create a US consumer ETF strategy based on OBV (On-Balance Volume).,Investment Target: ETF; Investment Style: Technical Analysis/OBV
Give me a US energy ETF strategy that uses a combination of technical indicators.,Investment Target: ETF; Investment Style: Technical Indicator Combination
Give me a swing trading strategy for a US banking ETF.,Investment Target: ETF; Investment Style: Swing Trading
Help me create a US tech stock strategy based on the Bollinger Band Squeeze.,Investment Target: ETF; Investment Style: Technical Analysis/Bollinger Band Squeeze
Help me create a US consumer ETF strategy based on the Stochastic RSI.,Investment Target: ETF; Investment Style: Technical Analysis/Stochastic RSI
Help me formulate a technical stop-loss strategy for a US small-cap ETF.,Investment Target: ETF; Investment Style: Risk Management/Technical Stop-loss
Help me create a US energy ETF strategy based on the Klinger Oscillator.,Investment Target: ETF; Investment Style: Technical Analysis/Klinger Oscillator
Please design a US financial ETF strategy based on Chaikin Volatility.,Investment Target: ETF; Investment Style: Technical Analysis/Chaikin Volatility
Give me a US consumer ETF strategy using the KDJ technical indicator.,Investment Target: ETF; Investment Style: Technical Analysis/KDJ Indicator
Help me create a US industrial ETF strategy based on MACD.,Investment Target: ETF; Investment Style: Technical Analysis/MACD
Help me design a high-dividend-yield strategy for a US banking ETF.,Investment Target: ETF; Investment Style: High Dividend
Generate a factor investing strategy for a multi-asset US stock portfolio.,Investment Target: ETF; Investment Style: Factor Investing
Please provide a volatility trading strategy using a US VIX ETF.,Investment Target: ETF; Investment Style: Volatility Trading
Generate a thematic investing strategy for a US new energy ETF.,Investment Target: ETF; Investment Style: Thematic Investing
Please provide a high-growth-potential strategy for a US technology ETF.,Investment Target: ETF; Investment Style: High Growth
Help me formulate a short-term momentum trading strategy for US tech stocks.,Investment Target: Stocks; Investment Style: Short-term Momentum Trading
Please provide a high-volatility arbitrage strategy for US small-cap stocks.,Investment Target: Stocks; Investment Style: High-Volatility Arbitrage
Help me formulate a long-term mean reversion strategy for US value stocks.,Investment Target: Stocks; Investment Style: Long-term Mean Reversion
Help me formulate an undervalued screening strategy for US small-cap stocks.,Investment Target: Stocks; Investment Style: Undervalued Screening
Generate a dividend reinvestment strategy for a US consumer ETF.,Investment Target: ETF; Investment Style: Dividend Reinvestment
Please provide a long-term holding strategy for a US real estate ETF.,Investment Target: ETF; Investment Style: Long-term Holding
Generate an index-tracking strategy for a broad-based US ETF.,Investment Target: ETF; Investment Style: Index Tracking
Help me formulate a rebalancing strategy for a US multi-asset ETF.,Investment Target: ETF; Investment Style: Rebalancing
Please provide a high-beta investment strategy for a US small-cap ETF.,Investment Target: ETF; Investment Style: High Beta
Generate a factor rotation strategy for a US multi-factor ETF.,Investment Target: ETF; Investment Style: Factor Rotation
Generate a portfolio strategy for high-growth ETFs.,Investment Target: ETF; Investment Style: High Growth
Please provide a high-dividend-yield strategy for a US real estate ETF.,Investment Target: ETF; Investment Style: High Dividend Yield
Give me a high-dividend screening strategy for a US financial ETF.,Investment Target: ETF; Investment Style: High-Dividend Screening
Generate a low-volatility factor strategy for a US ETF.,Investment Target: ETF; Investment Style: Low-Volatility Factor
"Help me design a long-term dollar-cost averaging strategy for investing in a US small-cap value ETF (e.g., VBR).",Investment Target: ETF; Investment Style: Factor Investing/Dollar-Cost Averaging
Formulate a strategy for screening and constructing an optimal US ETF portfolio based on the 'Sharpe Ratio'.,Investment Target: ETF; Investment Style: Quantitative Investing/Asset Allocation
Help me design a momentum rotation ETF strategy between the S&P 500 and the Nasdaq 100.,Investment Target: ETF; Investment Style: Momentum Trading/Rotation
"How to use the 'Price-to-Sales' (P/S) Ratio to value and invest in pre-profit, high-growth US tech stocks?",Investment Target: Stocks; Investment Style: Growth Investing
"Help me design a portfolio strategy for investing in the 'big three' cloud service providers (Amazon, Microsoft, Google).",Investment Target: Stocks; Investment Style: Growth Investing/Industry Leader
"How to formulate a sector ETF rotation strategy for sectors that perform well during US interest rate hike and cut cycles, respectively?",Investment Target: ETF; Investment Style: Macro Hedging/Sector Rotation
Generate a Dividend Aristocrat strategy for high-dividend US stocks.,Investment Target: Stocks; Investment Style: Dividend Aristocrats
Please provide a low-risk arbitrage strategy for US index stocks.,Investment Target: Stocks; Investment Style: Low-Risk Arbitrage
Please design a high-dividend reinvestment strategy for US utility stocks.,Investment Target: Stocks; Investment Style: High-Dividend Reinvestment
Generate a low-correlation allocation strategy for a multi-asset US stock portfolio.,Investment Target: Stocks; Investment Style: Low-Correlation Allocation
Please provide a value-growth strategy for US banking stocks.,Investment Target: Stocks; Investment Style: Value-Growth
Help me formulate a portfolio diversification strategy for US ETFs.,Investment Target: ETF; Investment Style: Portfolio Diversification
Please provide a growth-at-a-reasonable-price strategy for a US pharmaceutical ETF.,Investment Target: ETF; Investment Style: Growth-at-a-Reasonable-Price
Give me a US tech stock strategy confirmed by technical chart patterns.,Investment Target: ETF; Investment Style: Technical Chart Confirmation
"Please provide a low-risk, high-return strategy for a US value ETF.","Investment Target: ETF; Investment Style: Low Risk, High Return"
Help me create a value-based dollar-cost averaging strategy for a US index ETF.,Investment Target: ETF; Investment Style: Value-based Dollar-Cost Averaging
Generate a momentum-chasing strategy for a US growth ETF.,Investment Target: ETF; Investment Style: Momentum Chasing
Give me a low-risk rebalancing strategy for a US multi-ETF portfolio.,Investment Target: ETF; Investment Style: Low-Risk Rebalancing
"I want to pursue a value investing strategy.
",Investment Target: Stocks; Investment Style: Value Investing
I want to implement a dividend stock strategy.,Investment Target: Stocks; Investment Style: Dividend Investing
I want to focus on growth investing.,Investment Target: Stocks; Investment Style: Growth Investing
I want to start systematic investing in the US stock market from scratch. Please provide me with a long-term dollar-cost averaging (DCA) strategy for investing in S&P 500 ETFs (SPY/VOO).,Investment Target: ETF; Investment Style: Dollar-Cost Averaging Strategy
